N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s0_AP	S0_AP	s1_AP	S1_AP	s2_AP	S2_AP	s3_AP	S3_AP	s4_AP	S4_AP	s5_AP	S5_AP	s6_AP	S6_AP	s7_AP	S7_AP	s8_AP	S8_AP	s9_AP	S9_AP	s10_AP	S10_AP	s11_AP	S11_AP	s12_AP	S12_AP	s13_AP	S13_AP	s14_AP	S14_AP	s15_AP	S15_AP	s16_AP	S16_AP	s17_AP	S17_AP	s18_AP	S18_AP	s19_AP	S19_AP	s20_AP	S20_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	0	2	0	1	5	200	1	9	414.9381411	-6	27	-7	27	-8	27	-9	27	-10	27	-11	27	-12	27	-13	27	-14	27	-15	27	-16	27	-17	27	-18	27	-19	27	-20	27	-21	27	-22	27	-23	27	-24	27	-25	27	-26	27	0	0	415.07881	415.07881	415.07881	415.07881
12	0	2	0	1	5	200	1	19	449.0531675	-3	29	-3	29	-4	29	-5	29	-6	29	-7	29	-8	29	-9	29	-10	29	-11	29	-12	29	-13	29	-14	29	-15	29	-16	29	-17	29	-18	29	-19	29	-20	29	-21	29	-22	29	0	0	448.95207	448.95207	448.95207	448.95207
12	0	2	0	1	5	200	1	29	466.1120444	-2	30	-3	30	-4	30	-5	30	-6	30	-7	30	-8	30	-9	30	-10	30	-11	30	-12	30	-13	30	-14	30	-15	30	-16	30	-17	30	-18	30	-19	30	-20	30	-21	30	-22	30	0	0	466.23288	466.23288	466.23288	466.23288
12	0	2	0	1	5	200	3	9	558.846659	-7	22	-8	22	-9	22	-10	22	-11	22	-12	22	-13	22	-14	22	-15	22	-16	22	-17	22	-18	22	-19	22	-20	22	-21	22	-22	22	-23	22	-24	22	-25	22	-26	22	-27	22	0	0	558.83564	558.83564	558.83564	558.83564
12	0	2	0	1	5	200	3	19	600.6575803	-4	24	-5	24	-6	24	-7	24	-8	24	-9	24	-10	24	-11	24	-12	24	-13	24	-14	24	-15	24	-16	24	-17	24	-18	24	-19	24	-20	24	-21	24	-22	24	-23	24	-24	24	0	0	600.58977	600.58977	600.58977	600.58977
12	0	2	0	1	5	200	3	29	622.2925654	-3	25	-4	25	-5	25	-6	25	-7	25	-8	25	-9	25	-10	25	-11	25	-12	25	-13	25	-14	25	-15	25	-16	25	-17	25	-18	25	-19	25	-20	25	-21	25	-22	25	-23	25	0	0	622.40921	622.40921	622.40921	622.40921
12	0	2	0	1	5	200	5	9	612.8589035	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	-23	14	-24	14	-25	14	-26	14	-27	14	-28	14	0	0	612.76529	612.76529	612.76529	612.76529
12	0	2	0	1	5	200	5	19	683.4379935	-4	14	-4	14	-5	14	-6	14	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	-23	14	0	0	683.35908	683.35908	683.35908	683.35908
12	0	2	0	1	5	200	5	29	716.1615217	-3	14	-3	14	-4	14	-5	14	-6	14	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	0	0	716.22845	716.22845	716.22845	716.22845
12	0	2	1	1	4	50	1	9	203.2023896	-1	17	-2	17	-3	17	-4	17	-5	17	-6	17	-7	17	-8	17	-9	17	-10	17	-11	17	-12	17	-13	17	-14	17	-15	17	-16	17	-17	17	-18	17	-19	17	-20	17	-21	17	5	2	203.15447	216.40166	207.56037	211.20072
12	0	2	1	1	4	50	1	19	216.7505918	0	18	-1	18	-2	18	-3	18	-4	18	-5	18	-6	18	-7	18	-8	18	-9	18	-10	18	-11	18	-12	18	-13	18	-14	18	-15	18	-16	18	-17	18	-18	18	-19	18	-20	18	5	3	216.66605	250.45204	222.96332	226.64736
12	0	2	1	1	4	50	1	29	219.5729867	0	19	-1	19	-2	19	-3	19	-4	19	-5	19	-6	19	-7	19	-8	19	-9	19	-10	19	-11	19	-12	19	-13	19	-14	19	-15	19	-16	19	-17	19	-18	19	-19	19	-20	19	5	3	219.52612	269.19239	226.16757	229.50851
12	0	2	1	1	4	50	3	9	255.9521963	-2	10	-3	10	-4	10	-5	10	-6	10	-7	10	-8	10	-9	10	-10	10	-11	10	-12	10	-13	10	-14	10	-15	10	-16	10	-17	10	-18	10	-19	10	-20	10	-21	10	-22	10	5	1	255.96768	275.96667	270.009	290.31153
12	0	2	1	1	4	50	3	19	281.0068147	-1	10	-2	10	-3	10	-4	10	-5	10	-6	10	-7	10	-8	10	-9	10	-10	10	-11	10	-12	10	-13	10	-14	10	-15	10	-16	10	-17	10	-18	10	-19	10	-20	10	-21	10	5	2	281.07016	325.5826	300.0527	318.22658
12	0	2	1	1	4	50	3	29	291.1200515	0	11	-1	11	-2	11	-3	11	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	5	2	291.03729	368.90287	315.50388	332.88289
12	0	2	1	1	4	50	5	9	275.6153841	-2	7	-3	7	-4	7	-5	7	-6	7	-7	7	-8	7	-9	7	-10	7	-11	7	-12	7	-13	7	-14	7	-15	7	-16	7	-17	7	-18	7	-19	7	-20	7	-21	7	-22	7	5	1	275.76	300.61008	298.73752	343.84074
12	0	2	1	1	4	50	5	19	303.5911502	-1	7	-2	7	-3	7	-4	7	-5	7	-6	7	-7	7	-8	7	-9	7	-10	7	-11	7	-12	7	-13	7	-14	7	-15	7	-16	7	-17	7	-18	7	-19	7	-20	7	-21	7	5	2	303.72039	361.38881	340.58053	377.95086
12	0	2	1	1	4	50	5	29	319.3644803	0	7	-1	7	-2	7	-3	7	-4	7	-5	7	-6	7	-7	7	-8	7	-9	7	-10	7	-11	7	-12	7	-13	7	-14	7	-15	7	-16	7	-17	7	-18	7	-19	7	-20	7	5	2	319.37122	420.40374	365.66529	406.37526
12	0	2	1	1	4	100	1	9	307.5328531	-2	28	-3	28	-4	28	-5	28	-6	28	-7	28	-8	28	-9	28	-10	28	-11	28	-12	28	-13	28	-14	28	-15	28	-16	28	-17	28	-18	28	-19	28	-20	28	-21	28	-22	28	5	2	307.57389	318.11784	311.06775	314.20612
12	0	2	1	1	4	100	1	19	330.3980363	-1	30	-2	30	-3	30	-4	30	-5	30	-6	30	-7	30	-8	30	-9	30	-10	30	-11	30	-12	30	-13	30	-14	30	-15	30	-16	30	-17	30	-18	30	-19	30	-20	30	-21	30	5	3	330.37589	351.27133	334.29821	336.96974
12	0	2	1	1	4	100	1	29	344.1059777	0	31	-1	31	-2	31	-3	31	-4	31	-5	31	-6	31	-7	31	-8	31	-9	31	-10	31	-11	31	-12	31	-13	31	-14	31	-15	31	-16	31	-17	31	-18	31	-19	31	-20	31	5	3	344.0148	375.22402	348.17494	350.65991
12	0	2	1	1	4	100	3	9	408.4041633	-3	14	-4	14	-5	14	-6	14	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	-23	14	5	1	408.31015	424.15519	419.43697	435.14545
12	0	2	1	1	4	100	3	19	447.0721019	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	-20	16	-21	16	-22	16	5	2	447.32015	482.93831	462.43528	477.0931
12	0	2	1	1	4	100	3	29	467.6234904	-1	16	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	-20	16	-21	16	5	2	467.7455	521.33692	484.64473	497.57023
12	0	2	1	1	4	100	5	9	444.7620027	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	-21	11	-22	11	-23	11	-24	11	5	1	444.65509	462.23623	460.89406	494.73839
12	0	2	1	1	4	100	5	19	498.1028496	-2	11	-3	11	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	-21	11	-22	11	5	2	498.06138	538.32504	523.49652	551.89734
12	0	2	1	1	4	100	5	29	524.6251774	-1	11	-2	11	-3	11	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	-21	11	5	2	524.85132	589.58541	554.1746	583.16061
12	0	2	1	1	4	200	1	9	459.7030635	-5	29	-6	29	-7	29	-8	29	-9	29	-10	29	-11	29	-12	29	-13	29	-14	29	-15	29	-16	29	-17	29	-18	29	-19	29	-20	29	-21	29	-22	29	-23	29	-24	29	-25	29	5	2	459.64098	464.82813	461.37208	463.02262
12	0	2	1	1	4	200	1	19	512.8753585	-2	31	-3	31	-4	31	-5	31	-6	31	-7	31	-8	31	-9	31	-10	31	-11	31	-12	31	-13	31	-14	31	-15	31	-16	31	-17	31	-18	31	-19	31	-20	31	-21	31	-22	31	5	3	512.67723	523.46999	514.7293	516.24837
12	0	2	1	1	4	200	1	29	540.4691438	-1	32	-2	32	-3	32	-4	32	-5	32	-6	32	-7	32	-8	32	-9	32	-10	32	-11	32	-12	32	-13	32	-14	32	-15	32	-16	32	-17	32	-18	32	-19	32	-20	32	-21	32	5	3	540.35907	555.19953	542.40538	543.91266
12	0	2	1	1	4	200	3	9	619.4707341	-6	23	-7	23	-8	23	-9	23	-10	23	-11	23	-12	23	-13	23	-14	23	-15	23	-16	23	-17	23	-18	23	-19	23	-20	23	-21	23	-22	23	-23	23	-24	23	-25	23	-26	23	5	1	619.42433	631.08995	627.61349	639.43376
12	0	2	1	1	4	200	3	19	688.7336697	-3	25	-4	25	-5	25	-6	25	-7	25	-8	25	-9	25	-10	25	-11	25	-12	25	-13	25	-14	25	-15	25	-16	25	-17	25	-18	25	-19	25	-20	25	-21	25	-22	25	-23	25	5	2	689.0065	712.77246	699.09699	709.22244
12	0	2	1	1	4	200	3	29	725.9270366	-2	26	-3	26	-4	26	-5	26	-6	26	-7	26	-8	26	-9	26	-10	26	-11	26	-12	26	-13	26	-14	26	-15	26	-16	26	-17	26	-18	26	-19	26	-20	26	-21	26	-22	26	5	2	725.90241	761.26153	737.09793	746.22186
12	0	2	1	1	4	200	5	9	688.5939763	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	-23	14	-24	14	-25	14	-26	14	-27	14	5	1	688.59514	700.68943	699.74778	722.34666
12	0	2	1	1	4	200	5	19	791.560466	-3	15	-4	15	-5	15	-6	15	-7	15	-8	15	-9	15	-10	15	-11	15	-12	15	-13	15	-14	15	-15	15	-16	15	-17	15	-18	15	-19	15	-20	15	-21	15	-22	15	-23	15	5	2	791.62334	821.03876	810.13847	831.03988
12	0	2	1	1	4	200	5	29	835.3757252	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	-20	16	-21	16	-22	16	5	2	835.09749	886.03454	858.18372	881.58505
12	0	2	2	1	3	50	1	9	227.3999239	0	19	-1	19	-2	19	-3	19	-4	19	-5	19	-6	19	-7	19	-8	19	-9	19	-10	19	-11	19	-12	19	-13	19	-14	19	-15	19	-16	19	-17	19	-18	19	-19	19	-20	19	8	4	227.39021	251.04059	233.74734	239.18334
12	0	2	2	1	3	50	1	19	236.112173	1	20	0	20	-1	20	-2	20	-3	20	-4	20	-5	20	-6	20	-7	20	-8	20	-9	20	-10	20	-11	20	-12	20	-13	20	-14	20	-15	20	-16	20	-17	20	-18	20	-19	20	8	5	236.17081	279.96334	243.42447	248.08021
12	0	2	2	1	3	50	1	29	240.4082884	1	21	0	21	-1	21	-2	21	-3	21	-4	21	-5	21	-6	21	-7	21	-8	21	-9	21	-10	21	-11	21	-12	21	-13	21	-14	21	-15	21	-16	21	-17	21	-18	21	-19	21	8	5	240.4209	302.40057	247.89349	252.33156
12	0	2	2	1	3	50	3	9	297.6657123	-1	11	-2	11	-3	11	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	-21	11	8	2	297.72358	330.25885	317.67337	342.54454
12	0	2	2	1	3	50	3	19	324.4153286	0	12	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	-19	12	-20	12	8	3	324.38286	401.30208	351.73481	375.20113
12	0	2	2	1	3	50	3	29	334.3026427	1	12	0	12	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	-19	12	8	4	334.25428	441.1419	364.94911	388.2547
12	0	2	2	1	3	50	5	9	324.732856	-2	8	-3	8	-4	8	-5	8	-6	8	-7	8	-8	8	-9	8	-10	8	-11	8	-12	8	-13	8	-14	8	-15	8	-16	8	-17	8	-18	8	-19	8	-20	8	-21	8	-22	8	8	2	324.73021	364.01575	357.44206	390.74991
12	0	2	2	1	3	50	5	19	359.6406822	0	8	-1	8	-2	8	-3	8	-4	8	-5	8	-6	8	-7	8	-8	8	-9	8	-10	8	-11	8	-12	8	-13	8	-14	8	-15	8	-16	8	-17	8	-18	8	-19	8	-20	8	8	3	359.82902	457.21713	410.29444	444.12684
12	0	2	2	1	3	50	5	29	373.3499736	1	8	0	8	-1	8	-2	8	-3	8	-4	8	-5	8	-6	8	-7	8	-8	8	-9	8	-10	8	-11	8	-12	8	-13	8	-14	8	-15	8	-16	8	-17	8	-18	8	-19	8	8	3	373.5489	516.81064	432.94179	461.93185
12	0	2	2	1	3	100	1	9	336.1867055	-1	30	-2	30	-3	30	-4	30	-5	30	-6	30	-7	30	-8	30	-9	30	-10	30	-11	30	-12	30	-13	30	-14	30	-15	30	-16	30	-17	30	-18	30	-19	30	-20	30	-21	30	8	4	336.10476	351.74811	340.30069	344.08799
12	0	2	2	1	3	100	1	19	359.6723364	0	32	-1	32	-2	32	-3	32	-4	32	-5	32	-6	32	-7	32	-8	32	-9	32	-10	32	-11	32	-12	32	-13	32	-14	32	-15	32	-16	32	-17	32	-18	32	-19	32	-20	32	8	5	359.57062	390.12148	364.26697	367.55904
12	0	2	2	1	3	100	1	29	366.2557231	1	33	0	33	-1	33	-2	33	-3	33	-4	33	-5	33	-6	33	-7	33	-8	33	-9	33	-10	33	-11	33	-12	33	-13	33	-14	33	-15	33	-16	33	-17	33	-18	33	-19	33	8	5	366.33685	407.8547	371.03934	374.28992
12	0	2	2	1	3	100	3	9	458.708218	-3	15	-4	15	-5	15	-6	15	-7	15	-8	15	-9	15	-10	15	-11	15	-12	15	-13	15	-14	15	-15	15	-16	15	-17	15	-18	15	-19	15	-20	15	-21	15	-22	15	-23	15	8	2	458.68348	484.21468	474.20359	493.74463
12	0	2	2	1	3	100	3	19	509.8658759	-1	17	-2	17	-3	17	-4	17	-5	17	-6	17	-7	17	-8	17	-9	17	-10	17	-11	17	-12	17	-13	17	-14	17	-15	17	-16	17	-17	17	-18	17	-19	17	-20	17	-21	17	8	3	509.81783	562.42256	528.47592	545.61579
12	0	2	2	1	3	100	3	29	529.6707417	0	17	-1	17	-2	17	-3	17	-4	17	-5	17	-6	17	-7	17	-8	17	-9	17	-10	17	-11	17	-12	17	-13	17	-14	17	-15	17	-16	17	-17	17	-18	17	-19	17	-20	17	8	4	529.88816	614.01368	551.35925	568.16179
12	0	2	2	1	3	100	5	9	508.9252126	-4	11	-5	11	-6	11	-7	11	-8	11	-9	11	-10	11	-11	11	-12	11	-13	11	-14	11	-15	11	-16	11	-17	11	-18	11	-19	11	-20	11	-21	11	-22	11	-23	11	-24	11	8	2	508.94447	536.01179	531.35156	570.91867
12	0	2	2	1	3	100	5	19	578.1404673	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	-19	12	-20	12	-21	12	8	3	578.37013	642.97716	611.29724	649.19727
12	0	2	2	1	3	100	5	29	607.4474723	0	12	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	-19	12	-20	12	8	3	607.57487	716.96345	648.54855	687.2065
12	0	2	2	1	3	200	1	9	500.890994	-4	30	-5	30	-6	30	-7	30	-8	30	-9	30	-10	30	-11	30	-12	30	-13	30	-14	30	-15	30	-16	30	-17	30	-18	30	-19	30	-20	30	-21	30	-22	30	-23	30	-24	30	8	4	500.72805	508.64049	502.86037	504.88073
12	0	2	2	1	3	200	1	19	560.1211071	-1	33	-2	33	-3	33	-4	33	-5	33	-6	33	-7	33	-8	33	-9	33	-10	33	-11	33	-12	33	-13	33	-14	33	-15	33	-16	33	-17	33	-18	33	-19	33	-20	33	-21	33	8	5	560.14609	575.22658	562.5436	564.5077
12	0	2	2	1	3	200	1	29	570.2856925	0	34	-1	34	-2	34	-3	34	-4	34	-5	34	-6	34	-7	34	-8	34	-9	34	-10	34	-11	34	-12	34	-13	34	-14	34	-15	34	-16	34	-17	34	-18	34	-19	34	-20	34	8	5	569.99658	608.15275	574.32192	577.62777
12	0	2	2	1	3	200	3	9	680.3368972	-6	24	-7	24	-8	24	-9	24	-10	24	-11	24	-12	24	-13	24	-14	24	-15	24	-16	24	-17	24	-18	24	-19	24	-20	24	-21	24	-22	24	-23	24	-24	24	-25	24	-26	24	8	2	680.39244	697.84254	690.9894	704.48553
12	0	2	2	1	3	200	3	19	765.7326758	-2	27	-3	27	-4	27	-5	27	-6	27	-7	27	-8	27	-9	27	-10	27	-11	27	-12	27	-13	27	-14	27	-15	27	-16	27	-17	27	-18	27	-19	27	-20	27	-21	27	-22	27	8	3	766.06998	801.18084	778.49681	790.4397
12	0	2	2	1	3	200	3	29	811.880596	-1	27	-2	27	-3	27	-4	27	-5	27	-6	27	-7	27	-8	27	-9	27	-10	27	-11	27	-12	27	-13	27	-14	27	-15	27	-16	27	-17	27	-18	27	-19	27	-20	27	-21	27	8	4	811.89572	863.77556	825.22252	836.97237
12	0	2	2	1	3	200	5	9	766.5750513	-6	15	-7	15	-8	15	-9	15	-10	15	-11	15	-12	15	-13	15	-14	15	-15	15	-16	15	-17	15	-18	15	-19	15	-20	15	-21	15	-22	15	-23	15	-24	15	-25	15	-26	15	8	2	766.47779	784.87883	781.67162	807.39702
12	0	2	2	1	3	200	5	19	888.2571973	-2	17	-3	17	-4	17	-5	17	-6	17	-7	17	-8	17	-9	17	-10	17	-11	17	-12	17	-13	17	-14	17	-15	17	-16	17	-17	17	-18	17	-19	17	-20	17	-21	17	-22	17	8	3	888.32505	939.44436	914.26956	944.24721
12	0	2	2	1	3	200	5	29	939.5779588	-1	18	-2	18	-3	18	-4	18	-5	18	-6	18	-7	18	-8	18	-9	18	-10	18	-11	18	-12	18	-13	18	-14	18	-15	18	-16	18	-17	18	-18	18	-19	18	-20	18	-21	18	8	3	939.70225	1019.04306	969.4002	997.95159
12	0	2	3	1	2	50	1	9	246.2173493	1	21	0	21	-1	21	-2	21	-3	21	-4	21	-5	21	-6	21	-7	21	-8	21	-9	21	-10	21	-11	21	-12	21	-13	21	-14	21	-15	21	-16	21	-17	21	-18	21	-19	21	10	5	246.26954	267.92678	251.87016	256.11335
12	0	2	3	1	2	50	1	19	257.2134844	2	22	1	22	0	22	-1	22	-2	22	-3	22	-4	22	-5	22	-6	22	-7	22	-8	22	-9	22	-10	22	-11	22	-12	22	-13	22	-14	22	-15	22	-16	22	-17	22	-18	22	10	6	257.26675	291.31057	263.37033	267.1967
12	0	2	3	1	2	50	1	29	262.931339	2	23	1	23	0	23	-1	23	-2	23	-3	23	-4	23	-5	23	-6	23	-7	23	-8	23	-9	23	-10	23	-11	23	-12	23	-13	23	-14	23	-15	23	-16	23	-17	23	-18	23	10	6	263.02353	307.25578	269.48239	272.94951
12	0	2	3	1	2	50	3	9	342.4576694	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	-19	12	-20	12	-21	12	10	4	342.56425	375.83293	361.33396	378.3604
12	0	2	3	1	2	50	3	19	370.2513985	1	12	0	12	-1	12	-2	12	-3	12	-4	12	-5	12	-6	12	-7	12	-8	12	-9	12	-10	12	-11	12	-12	12	-13	12	-14	12	-15	12	-16	12	-17	12	-18	12	-19	12	10	5	370.39542	440.67585	396.03553	413.63703
12	0	2	3	1	2	50	3	29	384.1643214	2	13	1	13	0	13	-1	13	-2	13	-3	13	-4	13	-5	13	-6	13	-7	13	-8	13	-9	13	-10	13	-11	13	-12	13	-13	13	-14	13	-15	13	-16	13	-17	13	-18	13	10	5	384.13533	467.39868	411.9383	429.65237
